
##############
# h_beta_0.032 # 
##############

#Time 	total case
-1	2.842642570985432e-10
1	207.60772990630383
2	220.37527618677555
3	170.59233835066073
4	154.79042063806673
5	152.6117334094231
6	197.57786844861596
7	348.13797302558646
8	209.8685330052367
9	256.1040457726631
10	300.18649946230494
11	362.7383494210344
12	158.699884804887
13	310.17630670127073
14	536.4216683466052
15	500.7291300303191
16	441.0681959020735
17	466.00688193914993
18	662.2223145350617
19	544.7989265838287
20	479.3875901481115
21	830.6776075809858
22	826.2409220956688
23	1170.7232966259035
24	1175.787399683999
25	1060.7246195847674
26	703.0049867567031
27	961.3442994814504
28	1165.8601539963438
29	1365.2690267066755
30	979.2802260269564
31	902.1399346072467
32	597.5330220163705
33	395.90647650368555
34	580.9916426783784
35	574.590858849584
36	560.0848201218614
37	446.3874004715326
38	374.50277970364186
39	302.80196957818407
40	255.84764349908437
41	236.29761175865133
42	214.4496185069329
43	194.01856381746256
44	175.43680224978743
45	158.80545973217886
46	143.88410313657369
47	130.38351013906868
48	118.12999672103251
49	107.00616341664136
50	96.92159142944729
51	87.7882161729176
52	79.51708028930807
53	72.02518276892079
54	65.23766520132267
55	59.08790819213755
56	53.516184905667615
57	48.46836898941183
58	43.89527146445471
59	39.75222349418618
60	35.99873978560208
61	32.59816463029347
62	29.51730684375798
63	26.726102015505603
64	24.197311387095397
65	21.906255447713193
66	19.830574972856994
67	17.95001394447536
68	16.246221988942125
69	14.702574939889018
70	13.304012278189475
71	12.036889994142257
72	10.888847367208655
73	9.84868629212724
74	8.906261932777852
75	8.052383651171112
76	7.278725249110721
77	6.577743654062942
78	5.942605259802804
79	5.367119189857476
80	4.845676846412971
81	4.37319713225952
82	3.945076841941045
83	3.5571457024307165
84	3.2056256581490743
85	2.8870939736807486
86	2.5984498099096527
87	2.3368839533432038
88	2.099851380324253
89	1.8850464066163113
90	1.6903801811313315
91	1.513960281310574
92	1.3540722474717768
93	1.2091628378329915
94	1.0778248637725483
95	0.9587834567464597
96	0.8508836216533382
