
##############
# h_nominal # 
##############

#Time 	total case
11	280.5120633035913
12	305.54522377069907
13	350.2182991591494
14	398.0216814639625
15	446.37809335409975
16	493.5366284713991
17	527.9583715421049
18	564.1081372444332
19	597.5623987225317
20	628.1523004088749
21	655.8508963205295
22	680.7286547138929
23	706.5528333166749
24	748.3622329916961
25	805.3726929905115
26	875.6145059020691
27	977.7020787773254
28	1054.5196989062515
29	1112.1330900040557
30	1148.64894584367
31	1162.7066857627597
32	1153.5143942576906
33	1120.8150833924265
34	1065.377363102256
35	990.9076056233134
36	897.4168803338835
37	781.8872962845089
38	691.3421042994632
39	620.3360221943803
40	564.3447838583415
41	519.57928778321
42	482.8806346104466
43	451.6339727497216
44	423.6951782434262
45	397.41355893052605
46	371.5196098984052
47	344.8921993112417
48	317.8736169544609
49	291.6553909866052
50	266.97019097922384
51	244.2157776116983
52	223.54829128883284
53	204.95403179545974
54	188.3044471038229
55	173.39793124160133
56	159.99511406747843
57	147.84276176730418
58	136.68293062119847
59	126.31945861125496
END

##############
# h_beta_0.025 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	209.980500000523
2	121.15862532185179
3	126.33246164375743
4	130.57497732257178
5	134.05380613010198
6	139.598834291049
7	147.1610471457334
8	154.7573663079677
9	162.13030330897755
10	169.11396148667427
11	176.33578598848294
12	184.29702088880845
13	192.87363909569558
14	201.89446777287094
15	211.1743914389699
16	220.730874669046
17	226.84003872163203
18	235.1500473030883
19	244.13638378822588
20	253.74357416143994
21	263.9134191774974
22	269.1163982351909
23	269.9784394725011
24	266.88899738083273
25	260.0907975917107
26	249.67132815872083
27	241.08357731371325
28	225.42706285542226
29	205.43591372214814
30	181.7220043500556
31	155.0572103534014
32	132.8573293290283
33	114.20289374780896
34	98.35711992117922
35	84.73344902566987
36	72.9626733164987
37	62.81161598296967
38	54.06840802767965
39	46.54275862033046
40	40.065447210633465
41	34.48941549037772
42	29.688835247387942
43	25.555765872522898
44	21.99741955843365
45	18.933907337810524
46	16.296415369019996
47	14.025688530357911
48	12.070711841586672
49	10.387567777842378
50	8.938448604289988
51	7.690805505537355
52	6.6166167963638145
53	5.69175821540739
54	4.895460895128053
55	4.20984468754159
56	3.6195163853208214
57	3.1112238033574613
58	2.673557985145635
59	2.2966968263726812
END

##############
# h_beta_0.0375 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	224.97074999975078
2	152.9379540475171
3	165.88272850009298
4	176.49740551392563
5	185.20139656995389
6	202.44354966811466
7	227.89871209753892
8	254.00835124578362
9	279.7111552789481
10	304.3066787625719
11	331.4485401250695
12	364.00059350012543
13	401.2522141358836
14	442.1910777695848
15	485.70358265718824
16	532.3543800987054
17	572.0388563928045
18	621.5276885330923
19	676.8077120401813
20	737.7798652269103
21	804.3390951652154
22	856.6541450704535
23	895.7705699411381
24	921.6962583255063
25	933.617838889606
26	929.7709958713604
27	934.4572394129627
28	903.5143650660011
29	847.3185199347572
30	766.5281507744603
31	662.9374301639309
32	577.2425917203072
33	505.26615685454817
34	443.61711833487425
35	389.5659696563198
36	341.7556484150591
37	299.66544520499883
38	262.72769390755275
39	230.36271624614892
40	202.003264066494
41	177.13849321956877
42	155.33197117959207
43	136.20670431206963
44	119.43403630465764
45	104.72536739663701
46	91.82684423965475
47	80.51561154321462
48	70.59623414050657
49	61.89738917351133
50	54.26887479743891
51	47.57897844482068
52	41.71219254528114
53	36.567220910830656
54	32.055232560673176
55	28.098329140375427
56	24.628199559982022
57	21.584939897165896
58	18.916018577121577
59	16.57536902992433
END

##############
# h_beta_0.05 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	239.96099999967328
2	184.71728277339744
3	205.4329953571753
4	222.41983370563628
5	236.34898701145266
6	269.3320336483873
7	320.5240596423662
8	373.6730245180379
9	426.41285633749567
10	477.1658371815229
11	536.5657382986615
12	612.8734818944281
13	704.0930675066938
14	807.3100862823148
15	919.2828393263162
16	1043.0844025945971
17	1158.919941744919
18	1305.2512681923945
19	1474.4238593869304
20	1666.5445950998037
21	1881.984282033769
22	2070.586477641349
23	2234.0631836433495
24	2370.419601901296
25	2474.0697366856803
26	2535.2369985915575
27	2628.8347301974827
28	2609.3722535213965
29	2503.559373191518
30	2306.806220613209
31	2018.1669975772093
32	1782.126668954923
33	1585.004431409805
34	1415.408449107039
35	1263.8924595562057
36	1126.7213930799408
37	1003.6696580435528
38	893.9392530100667
39	796.3654891473707
40	709.5702347714323
41	632.2560601066652
42	563.348836328456
43	501.9319447209273
44	447.2015356523916
45	398.43669764630613
46	354.9881573692328
47	316.275391947318
48	281.78131347590534
49	251.04590567386913
50	223.6596691767336
51	199.25773961326922
52	177.51493410317198
53	158.1414506385554
54	140.87905611698807
55	125.49766664332128
56	111.79227972237277
57	99.58023664096254
58	88.6987848936842
59	79.00290857093205
END

##############
# h_beta_0.0625 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	254.9512499996622
2	216.49661149895107
3	244.9832622128818
4	268.34226189738695
5	287.4965774511867
6	340.2638990911689
7	425.0353080662894
8	513.7467264809914
9	602.2260519539204
10	687.6753688575386
11	793.294605357722
12	937.0122740854813
13	1114.59838927674
14	1319.7656089055636
15	1545.4679526894906
16	1801.54400775262
17	2056.2647746723633
18	2385.309740684801
19	2776.78406208217
20	3231.6746492489838
21	3752.584406966027
22	4236.403535425001
23	4687.544373921613
24	5099.704011406757
25	5454.893522259852
26	5721.592686642049
27	6085.849712143434
28	6171.8166153094135
29	6034.526662439399
30	5647.231100229488
31	4990.534691244378
32	4461.923080845285
33	4025.084670512617
34	3648.8532521027373
35	3306.3797160996764
36	2988.9483872726996
37	2699.1959248354397
38	2437.2584388038667
39	2201.510038326509
40	1989.1216622740758
41	1797.287249214627
42	1623.8513972075307
43	1467.0532642202888
44	1325.3576975101896
45	1197.347856604174
46	1081.705339413791
47	977.2287593649671
48	882.8347103726701
49	797.5491497011681
50	720.4943484035466
51	650.8770752727869
52	587.9799316744029
53	531.1542923218076
54	479.8140315391356
55	433.4296484125225
56	391.5227885369095
57	353.66126690672536
58	319.45459161409235
59	288.5499423724541
END

##############
# h_beta_0.1 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	299.922000000405
2	311.8345976766207
3	363.6340627826578
4	406.1095464712871
5	440.93934877302604
6	577.3150943671499
7	809.8619475541855
8	1056.361416894429
9	1304.2106765770368
10	1544.8905328955188
11	1889.0834174402971
12	2421.6052774014624
13	3123.207870748889
14	3964.4014986070124
15	4911.728296825902
16	6056.406844718826
17	7342.83527737519
18	9113.584060769397
19	11350.646499315611
20	14065.927990015909
21	17304.46010627011
22	20618.66076810578
23	24088.439388271276
24	27684.239299382753
25	31239.899772546138
26	34438.04948849167
27	38645.20115112033
28	41000.341632317984
29	41745.102932086156
30	40424.05455703777
31	36554.82259351597
32	33635.68598798802
33	31353.543709314195
34	29416.740879479446
35	27545.348200023407
36	25677.12147782196
37	23893.40941598243
38	22233.88070941833
39	20706.128539135912
40	19292.654904461117
41	17973.804433907033
42	16740.225920758676
43	15587.494006777997
44	14512.531554342597
45	13511.277783051366
46	12578.69944208581
47	11709.83817682229
48	10900.215491352486
49	10145.864288976998
50	9443.159758044174
51	8788.681411523372
52	8179.18675631634
53	7611.622813969036
54	7083.137630799552
55	6591.075203625485
56	6132.959495046991
57	5706.478834531386
58	5309.473813858582
59	4939.928076424054
END

##############
# h_k_6.0 # 
##############

#Time 	total case
-1	3.9376867651957914e-10
1	209.98049999993563
2	175.12352532171792
3	197.56612001179832
4	215.96900384417302
5	231.05931655867653
6	255.1129199932143
7	308.93996320385327
8	365.8549504648058
9	422.99916887410586
10	478.4429345815229
11	537.5941530835021
12	616.7350651288461
13	714.0172809074593
14	826.2954631120592
15	949.8903778999611
16	1084.8611160009932
17	1227.0096734804338
18	1399.7724336551164
19	1601.7794648103318
