
##############
# h_nominal # 
##############

#Time 	total case
28	2219.9917568998317
29	2654.3020690954654
30	1964.2772787794129
31	1884.5098032052592
32	1283.1475767041047
33	875.762389218562
34	1317.3276176415675
35	1336.648222110729
36	1339.9356962520906
37	1102.055783851305
38	959.0392865174508
39	804.6540023963753
40	702.9867709588798
41	668.181484574503
42	622.3659989645894
43	577.8944255292954
44	536.9942630000805
45	500.2301116584058
46	466.62847151822643
47	435.1864970422175
48	405.605872408305
49	377.87039224801265
50	352.02338588902785
51	328.0022532645453
52	305.6567907224962
53	284.8370922928152
54	265.42165462919365
55	247.31762822092423
56	230.44450292317924
57	214.72289402913884
58	200.07434993219795
59	186.4240028448039
60	173.70271257169952
61	161.84715180448984
62	150.7987548599558
63	140.50285777913814
64	130.9082751650276
